Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,xAG,Team
Jean-Clair Todibo,FRA,DF,24,360,7,697,0,0,0,0,0,0.1,0,West-Ham-United
Crysencio Summerville,NED,"FW,MF",23,55,6,641,1,1,0,2,0,1.5,0.21,West-Ham-United
Carlos Soler,ESP,MF,27,357,6,607,0,1,0,5,0,0.7,0.13,West-Ham-United
VladimÃ­r Coufal,CZE,DF,32,124,4,437,0,0,0,2,0,0.2,0.07,West-Ham-United
Danny Ings,ENG,FW,32,154,1,180,1,1,0,0,0,2.1,0.37,West-Ham-United
Niclas FÃ¼llkrug,GER,FW,31,319,1,169,1,0,0,0,0,0.8,0.1,West-Ham-United
Andy Irving,SCO,MF,24,225,0,51,0,0,0,1,0,0,0,West-Ham-United
Oliver Scarles,ENG,DF,19,12,0,36,0,0,0,0,0,0,0,West-Ham-United
Aaron Cresswell,ENG,DF,35,9,0,32,0,0,0,1,0,0,0.28,West-Ham-United
James Ward-Prowse,ENG,MF,30,53,0,18,0,0,0,0,0,0,0,West-Ham-United
Luis Guilherme,BRA,MF,18,319,0,13,0,0,0,0,0,0,0,West-Ham-United
Kaelan Casey,ENG,DF,20,57,0,1,0,0,0,0,0,0,0,West-Ham-United
Wes Foderingham,ENG,GK,33,345,0,18,0,0,0,0,0,0,0,West-Ham-United
Ezra Mayers,BRB,DF,17,343,0,13,0,0,0,0,0,0,0,West-Ham-United
Lewis Orford,ENG,MF,18,310,0,1,0,0,0,0,0,0,0,West-Ham-United
Jordan Pickford,ENG,GK,30,292,16,1440,0,0,0,3,0,0,0,Everton
James Tarkowski,ENG,DF,32,35,16,1431,0,0,0,3,0,0.7,0.08,Everton
Dominic Calvert-Lewin,ENG,FW,27,283,15,1231,2,1,0,1,0,4.4,0.03,Everton
Iliman Ndiaye,SEN,FW,24,293,14,1256,2,0,0,2,0,1.4,0.09,Everton
Ashley Young,ENG,DF,39,168,14,1200,1,3,0,5,1,0.2,0.09,Everton
Vitaliy Mykolenko,UKR,DF,25,209,14,1195,0,0,0,1,0,0.3,0.03,Everton
Idrissa Gana Gueye,SEN,MF,35,89,13,1160,0,0,0,2,0,0.7,0.05,Everton
Dwight McNeil,ENG,"MF,FW",25,32,13,1140,3,3,0,1,0,0.9,0.27,Everton
Abdoulaye DoucourÃ©,MLI,MF,31,358,13,1073,0,0,0,0,0,0.6,0.06,Everton
Michael Keane,ENG,DF,31,348,9,810,2,0,0,4,0,0.4,0.01,Everton
Jack Harrison,ENG,FW,28,34,9,804,0,0,0,0,0,2.1,0.17,Everton
Orel Mangala,BEL,MF,26,281,8,766,1,0,0,1,0,0.5,0.06,Everton
Jarrad Branthwaite,ENG,DF,22,180,7,638,0,0,0,0,0,0,0,Everton
Jesper LindstrÃ¸m,DEN,FW,24,299,6,537,0,0,0,0,0,1.4,0.16,Everton
Tim Iroegbunam,ENG,MF,21,177,4,383,0,0,0,2,0,0.2,0.02,Everton
James Garner,ENG,"DF,MF",23,286,2,253,0,0,0,1,0,0,0.01,Everton
Beto,GNB,FW,26,328,1,205,1,0,0,1,0,1.6,0,Everton
SÃ©amus Coleman,IRL,DF,36,74,1,107,0,0,0,0,0,0.6,0,Everton
Roman Dixon,ENG,DF,19,364,1,90,0,0,0,0,0,0,0,Everton
Jake O'Brien,IRL,DF,23,223,0,36,0,0,0,1,0,0,0,Everton
Armando Broja,ALB,FW,23,105,0,33,0,0,0,1,0,0,0,Everton
Nathan Patterson,SCO,DF,23,69,0,18,0,0,0,0,0,0,0.87,Everton
Mason Holgate,ENG,"FW,DF",28,63,0,6,0,0,0,0,0,0,0,Everton
Harrison Armstrong,ENG,MF,17,340,0,3,0,0,0,1,0,0,0,Everton
Callum Bates,ENG,MF,19,87,0,36,0,0,0,1,0,0,0,Everton
Asmir BegoviÄ‡,BIH,GK,37,187,0,33,0,0,0,1,0,0,0,Everton
Youssef Chermiti,POR,FW,20,214,0,18,0,0,0,0,0,0,0.87,Everton
Neal Maupay,FRA,"FW,MF",28,132,0,6,0,0,0,0,0,0,0,Everton
Jenson Metcalfe,ENG,MF,20,109,0,3,0,0,0,1,0,0,0,Everton
JoÃ£o VirgÃ­nia,POR,GK,25,75,0,3,0,0,0,1,0,0,0,Everton
Marc GuÃ©hi,ENG,DF,24,164,17,1530,2,1,0,4,0,1.3,0.03,Crystal-Palace
Dean Henderson,ENG,GK,27,287,17,1530,0,0,0,2,0,0,0,Crystal-Palace
Tyrick Mitchell,ENG,DF,25,114,17,1474,0,3,0,2,0,0.3,0.17,Crystal-Palace
Daniel MuÃ±oz,COL,DF,28,212,16,1353,2,1,0,5,0,2.7,0.11,Crystal-Palace
Jean-Philippe Mateta,FRA,FW,27,179,15,1253,4,1,1,2,0,5,0.14,Crystal-Palace
Maxence Lacroix,FRA,DF,24,262,14,1260,1,1,0,3,0,1.4,0.02,Crystal-Palace
Eberechi Eze,ENG,"MF,FW",26,178,13,1078,1,2,0,0,0,3.5,0.18,Crystal-Palace
Ismaila Sarr,SEN,"MF,FW",26,303,10,1005,4,2,0,3,0,3.5,0.29,Crystal-Palace
Will Hughes,ENG,MF,29,251,10,953,0,2,0,6,0,0.7,0.14,Crystal-Palace
Trevoh Chalobah,ENG,DF,25,172,10,880,2,0,0,1,0,0.9,0.04,Crystal-Palace
Jefferson Lerma,COL,MF,30,60,9,824,0,0,0,4,0,0.5,0.1,Crystal-Palace
Daichi Kamada,JPN,MF,28,141,8,711,0,0,0,2,1,0.6,0.13,Crystal-Palace
Adam Wharton,ENG,MF,20,205,8,622,0,0,0,0,0,0.2,0.09,Crystal-Palace
Eddie Nketiah,ENG,"MF,FW",25,208,6,579,0,1,0,2,0,1.4,0.2,Crystal-Palace
Chris Richards,USA,DF,24,271,5,445,0,0,0,1,0,0.1,0,Crystal-Palace
Nathaniel Clyne,ENG,"DF,MF",33,263,4,382,0,0,0,1,0,0,0.03,Crystal-Palace
Cheick DoucourÃ©,MLI,MF,24,351,3,270,0,0,0,1,0,0.4,0,Crystal-Palace
Justin Devenny,NIR,MF,21,74,2,229,1,0,0,0,0,0.5,0.14,Crystal-Palace
Odsonne Ã‰douard,FRA,"MF,FW",26,343,1,115,0,0,0,0,0,0.4,0.04,Crystal-Palace
Joachim Andersen,DEN,DF,28,207,1,90,0,0,0,1,0,0,0,Crystal-Palace
Chadi Riad,MAR,DF,21,190,1,90,0,0,0,0,0,0,0,Crystal-Palace
Jeffrey Schlupp,GHA,"MF,DF",32,1,0,102,0,0,0,0,0,0.2,0.09,Crystal-Palace
Jordan Ayew,GHA,"FW,MF",33,104,0,21,0,0,0,1,0,0.5,0.21,Crystal-Palace
Caleb Kporha,ENG,DF,18,162,0,13,0,0,0,0,0,0,0,Crystal-Palace
Asher Agbinone,ENG,MF,19,87,0,6,0,0,0,0,0,0,0.5,Crystal-Palace
Naouirou Ahamada,FRA,MF,22,270,0,382,0,0,0,1,0,0,0.03,Crystal-Palace
Rob Holding,ENG,DF,29,95,0,270,0,0,0,1,0,0.4,0,Crystal-Palace
Sam Johnstone,ENG,GK,31,274,0,229,1,0,0,0,0,0.5,0.14,Crystal-Palace
Zachariah Marsh,ENG,FW,19,79,0,115,0,0,0,0,0,0.4,0.04,Crystal-Palace
Remi Matthews,ENG,GK,30,318,0,90,0,0,0,1,0,0,0,Crystal-Palace
Kaden Rodney,ENG,DF,20,78,0,90,0,0,0,0,0,0,0,Crystal-Palace
Matt Turner,USA,GK,30,183,0,102,0,0,0,0,0,0.2,0.09,Crystal-Palace
Franco Umeh-Chibueze,IRL,MF,19,333,0,21,0,0,0,1,0,0.5,0.21,Crystal-Palace
Joel Ward,ENG,"DF,MF",35,56,0,13,0,0,0,0,0,0,0,Crystal-Palace
Mads Hermansen,DEN,GK,24,166,16,1395,0,0,0,0,0,0,0,Leicester-City
James Justin,ENG,DF,26,305,16,1394,2,1,0,2,0,0.7,0.02,Leicester-City
Jamie Vardy,ENG,FW,37,348,16,1281,6,3,1,4,0,5.4,0.14,Leicester-City
Victor Bernth Kristiansen,DEN,DF,22,8,15,1307,0,1,0,1,0,0,0.07,Leicester-City
Wilfred Ndidi,NGA,MF,28,8,15,1215,0,4,0,4,0,1.4,0.1,Leicester-City
Wout Faes,BEL,DF,26,265,13,1256,1,0,0,2,0,0.9,0,Leicester-City
Facundo Buonanotte,ARG,"MF,FW",20,1,10,922,4,2,0,5,0,3.2,0.26,Leicester-City
Harry Winks,ENG,MF,28,326,10,910,0,2,0,3,0,0.2,0.11,Leicester-City
Stephy Mavididi,ENG,FW,26,207,9,850,2,0,0,2,0,1.1,0.11,Leicester-City
Caleb Okoli,ITA,DF,23,164,9,784,0,0,0,2,0,0.1,0,Leicester-City
Jordan Ayew,GHA,"FW,MF",33,104,8,741,3,0,1,3,0,2.1,0.02,Leicester-City
Jannik Vestergaard,DEN,DF,32,143,8,690,0,0,0,3,0,0,0,Leicester-City
Oliver Skipp,ENG,MF,24,99,7,682,0,0,0,4,0,0.1,0.03,Leicester-City
Bilal El Khannouss,MAR,"MF,FW",20,228,7,567,1,1,0,0,0,0.2,0.25,Leicester-City
Abdul Fatawu Issahaku,GHA,FW,20,291,6,579,0,2,0,0,0,0.4,0.24,Leicester-City
Boubakary SoumarÃ©,FRA,MF,25,301,6,565,0,0,0,6,0,0.1,0.02,Leicester-City
Conor Coady,ENG,DF,31,303,5,458,0,0,0,1,0,0,0.01,Leicester-City
Kasey McAteer,IRL,"FW,MF",23,32,4,334,0,1,0,0,0,0.6,0.04,Leicester-City
Bobby Reid,JAM,"FW,MF",31,326,2,277,1,0,0,0,0,0.7,0.04,Leicester-City
Ricardo Pereira,POR,DF,31,79,2,146,0,0,0,1,0,0,0,Leicester-City
Danny Ward,WAL,GK,31,185,1,135,0,0,0,0,0,0,0,Leicester-City
Hamza Choudhury,ENG,"MF,DF",27,84,1,111,0,0,0,0,0,0,0.32,Leicester-City
Luke Thomas,ENG,DF,23,197,1,90,0,0,0,0,0,0,0.05,Leicester-City
Patson Daka,ZAM,"FW,MF",26,76,0,112,1,0,0,0,0,0.2,0,Leicester-City
Odsonne Ã‰douard,FRA,FW,26,343,0,29,0,0,0,0,0,0,0.13,Leicester-City
Thomas Cannon,IRL,FW,21,362,0,111,0,0,0,0,0,0,0.32,Leicester-City
Henry Cartwright,ENG,MF,20,13,0,90,0,0,0,0,0,0,0.05,Leicester-City
Daniel Iversen,DEN,GK,27,158,0,112,1,0,0,0,0,0.2,0,Leicester-City
Benjamin Nelson,ENG,DF,20,281,0,29,0,0,0,0,0,0,0.13,Leicester-City
JÃ¸rgen Strand Larsen,NOR,FW,24,322,17,1398,6,2,0,2,0,4.1,0.08,Wolverhampton-Wanderers
Matheus Cunha,BRA,"MF,FW",25,211,16,1425,9,3,0,2,0,3.9,0.31,Wolverhampton-Wanderers
Rayan AÃ¯t-Nouri,ALG,DF,23,201,16,1366,3,3,0,6,1,1.3,0.1,Wolverhampton-Wanderers
JoÃ£o Gomes,BRA,MF,23,316,16,1355,2,1,0,5,0,1.6,0.02,Wolverhampton-Wanderers
Mario Lemina,GAB,"MF,DF",31,114,15,1332,1,3,0,4,0,1.4,0.08,Wolverhampton-Wanderers
NÃ©lson Semedo,POR,DF,31,38,14,1227,0,3,0,5,0,0.4,0.09,Wolverhampton-Wanderers
Toti Gomes,POR,DF,25,343,14,1174,0,1,0,4,0,0,0.05,Wolverhampton-Wanderers
AndrÃ©,BRA,MF,23,161,11,820,0,0,0,2,0,0.1,0.02,Wolverhampton-Wanderers
JosÃ© SÃ¡,POR,GK,31,342,10,900,0,0,0,1,0,0,0.01,Wolverhampton-Wanderers
Craig Dawson,ENG,DF,34,232,9,894,0,0,0,2,0,0.5,0,Wolverhampton-Wanderers
Santiago Bueno,URU,DF,26,45,9,791,0,0,0,0,0,0.3,0,Wolverhampton-Wanderers
Jean-Ricner Bellegarde,FRA,"MF,FW",26,180,9,727,1,2,0,2,0,0.6,0.07,Wolverhampton-Wanderers
Sam Johnstone,ENG,GK,31,274,7,630,0,0,0,0,0,0,0,Wolverhampton-Wanderers
Matt Doherty,IRL,DF,32,343,6,534,1,1,0,1,0,0.5,0.21,Wolverhampton-Wanderers
Yerson Mosquera,COL,DF,23,236,5,441,0,0,0,2,0,0.3,0.02,Wolverhampton-Wanderers
Rodrigo Gomes,POR,"DF,FW",21,170,4,354,1,0,0,0,0,0.3,0.05,Wolverhampton-Wanderers
GonÃ§alo Guedes,POR,"FW,MF",28,25,2,342,2,4,0,1,0,0.6,0.21,Wolverhampton-Wanderers
Tommy Doyle,ENG,MF,23,68,2,338,0,1,0,0,0,0.5,0.1,Wolverhampton-Wanderers
Hwang Hee-chan,KOR,"MF,FW",28,333,2,336,0,0,0,0,0,0,0.03,Wolverhampton-Wanderers
Pablo Sarabia,ESP,"MF,FW",32,227,2,181,1,0,0,1,0,1.4,0.22,Wolverhampton-Wanderers
Carlos Forbs,POR,"MF,FW",20,280,1,208,0,0,0,2,0,0.1,0.02,Wolverhampton-Wanderers
Daniel Podence,POR,"MF,FW",29,64,0,48,0,0,0,0,0,0,0,Wolverhampton-Wanderers
Chiquinho,POR,MF,24,323,0,7,0,0,0,0,0,0,0.42,Wolverhampton-Wanderers
Alfie Pond,ENG,DF,20,298,0,1,0,0,0,0,0,0,0,Wolverhampton-Wanderers
Daniel Bentley,ENG,GK,31,164,0,338,0,1,0,0,0,0.5,0.1,Wolverhampton-Wanderers
Luke Cundle,ENG,MF,22,242,0,336,0,0,0,0,0,0,0.03,Wolverhampton-Wanderers
Tom Edozie,ENG,MF,18,220,0,181,1,0,0,1,0,1.4,0.22,Wolverhampton-Wanderers
Pedro Lima,BRA,DF,18,176,0,208,0,0,0,2,0,0.1,0.02,Wolverhampton-Wanderers
Bastien Meupiyou,FRA,DF,18,280,0,48,0,0,0,0,0,0,0,Wolverhampton-Wanderers
Boubacar TraorÃ©,MLI,MF,23,126,0,7,0,0,0,0,0,0,0.42,Wolverhampton-Wanderers
Leif Davis,ENG,DF,24,347,17,1530,1,2,0,2,0,0.6,0.19,Ipswich-Town
Arijanet Muric,KVX,GK,26,47,16,1440,0,0,0,1,0,0,0,Ipswich-Town
Sam Morsy,EGY,MF,33,105,16,1433,1,1,0,5,0,0.3,0.03,Ipswich-Town
Omari Hutchinson,ENG,"MF,FW",21,55,16,1356,1,1,0,4,0,1.3,0.1,Ipswich-Town
Liam Delap,ENG,FW,21,320,15,1186,6,1,0,4,0,4.4,0.1,Ipswich-Town
Dara O'Shea,IRL,DF,25,295,14,1232,0,0,0,3,0,0.6,0,Ipswich-Town
Sammie Szmodics,IRL,FW,29,91,11,822,3,0,0,2,0,3.1,0.02,Ipswich-Town
Cameron Burgess,AUS,DF,29,64,9,810,0,1,0,0,0,0.6,0.04,Ipswich-Town
Axel Tuanzebe,COD,DF,27,40,9,770,0,0,0,3,0,0.2,0.03,Ipswich-Town
Wes Burns,WAL,FW,30,31,9,732,0,1,0,1,0,0.4,0.19,Ipswich-Town
Jacob Greaves,ENG,DF,24,103,8,720,0,0,0,2,0,0.4,0,Ipswich-Town
Jens Cajuste,SWE,MF,25,136,8,606,0,0,0,2,0,0.1,0.03,Ipswich-Town
Conor Chaplin,ENG,"MF,FW",27,312,7,614,1,1,0,1,0,1.2,0.09,Ipswich-Town
Kalvin Phillips,ENG,MF,29,22,7,566,0,0,0,3,1,0.3,0.02,Ipswich-Town
Ben Johnson,ENG,"DF,FW",24,335,5,513,0,1,0,1,0,0,0.07,Ipswich-Town
Jack Clarke,ENG,FW,24,31,4,504,0,2,0,1,0,0.8,0.2,Ipswich-Town
Harry Clarke,ENG,DF,23,297,4,378,0,0,0,3,1,0.1,0.01,Ipswich-Town
Luke Woolfenden,ENG,DF,26,64,4,378,0,0,0,1,0,0,0,Ipswich-Town
Chiedozie Ogbene,IRL,FW,27,237,3,238,0,0,0,0,0,0,0.03,Ipswich-Town
Massimo Luongo,AUS,MF,32,90,2,143,0,0,0,0,0,0,0,Ipswich-Town
Jack Taylor,IRL,MF,26,184,1,336,1,0,0,3,0,0.5,0.15,Ipswich-Town
George Hirst,ENG,FW,25,313,1,180,1,1,0,1,0,0.8,0.13,Ipswich-Town
Christian Walton,ENG,GK,29,45,1,90,0,0,0,0,0,0,0,Ipswich-Town
Ali Al Hamadi,IRQ,FW,22,298,0,119,0,0,0,3,0,0.4,0.05,Ipswich-Town
Nathan Broadhead,WAL,"FW,MF",26,263,0,50,0,0,0,0,0,0,0.08,Ipswich-Town
Marcus Harness,ENG,MF,28,304,0,45,0,0,0,0,0,0,0,Ipswich-Town
George Edmundson,ENG,DF,27,115,0,2,0,0,0,0,0,0,0,Ipswich-Town
Conor Townsend,ENG,MF,31,295,0,1,0,0,0,0,0,0,1.6,Ipswich-Town
Cieran Slicker,SCO,GK,22,100,0,1,0,0,0,0,0,0,1.6,Ipswich-Town
Kyle Walker-Peters,ENG,DF,27,255,15,1340,0,2,0,3,0,0.3,0.11,Southampton
Taylor Harwood-Bellis,ENG,DF,22,329,15,1310,1,0,0,5,0,1.2,0.03,Southampton
Flynn Downes,ENG,MF,25,339,15,1309,1,0,0,7,0,0.6,0.06,Southampton
Mateus Fernandes,POR,MF,20,167,14,1235,1,1,0,4,0,1.6,0.08,Southampton
Jan Bednarek,POL,DF,28,256,13,1160,0,0,0,3,0,0,0.03,Southampton
Tyler Dibling,ENG,"FW,MF",18,287,11,975,1,0,0,5,0,1.1,0.11,Southampton
Adam Armstrong,ENG,"FW,MF",27,318,11,942,2,1,0,4,0,3.1,0.04,Southampton
Aaron Ramsdale,ENG,GK,26,224,10,900,0,0,0,1,0,0,0,Southampton
Yukinari Sugawara,JPN,DF,24,179,10,873,1,1,0,3,0,0.3,0.21,Southampton
Jack Stephens,ENG,DF,30,332,10,793,0,0,0,2,2,0.3,0.02,Southampton
Joe Aribo,NGA,MF,28,156,9,959,2,0,0,0,0,2.2,0.11,Southampton
Cameron Archer,ENG,FW,23,156,9,897,2,0,0,0,0,4.4,0.02,Southampton
Ryan Manning,IRL,DF,28,193,9,659,0,0,0,1,0,0.1,0.16,Southampton
Adam Lallana,ENG,MF,36,228,5,315,0,2,0,4,0,0.2,0.25,Southampton
Ben Brereton,CHI,FW,25,250,4,449,0,0,0,1,0,0.9,0.02,Southampton
Alex McCarthy,ENG,GK,35,21,4,360,0,0,0,0,0,0,0,Southampton
Ryan Fraser,SCO,"FW,DF",30,304,4,303,0,0,0,0,1,0,0.03,Southampton
Nathan Wood-Gordon,ENG,DF,22,207,3,346,0,0,0,1,0,0.2,0.01,Southampton
Joe Lumley,ENG,GK,29,313,3,270,0,0,0,0,0,0,0,Southampton
William Smallbone,IRL,MF,24,307,3,241,0,0,0,0,0,0.3,0.11,Southampton
Lesley Ugochukwu,FRA,MF,20,273,2,245,0,0,0,2,0,0.2,0.07,Southampton
Charlie Taylor,ENG,DF,31,97,2,221,0,0,0,1,0,0,0.03,Southampton
James Bree,ENG,DF,27,74,2,148,0,0,0,0,0,0,0.12,Southampton
Ross Stewart,SCO,"FW,MF",28,166,1,132,0,0,0,1,0,0.1,0,Southampton
Paul Onuachu,NGA,FW,30,210,1,115,0,0,0,1,0,0.1,0.02,Southampton
Maxwel Cornet,CIV,FW,28,88,1,72,0,0,0,1,0,0.2,0,Southampton
Kamaldeen Sulemana,GHA,"FW,MF",22,313,1,64,0,0,0,0,0,0,0,Southampton
Samuel Edozie,ENG,"DF,FW",21,331,0,65,0,0,0,1,0,0,0.14,Southampton
Samuel Amo-Ameyaw,ENG,"FW,DF",18,159,0,28,0,0,0,1,0,0,0.22,Southampton
Ronnie Edwards,ENG,DF,21,271,0,12,0,0,0,0,0,0,0,Southampton
Carlos Alcaraz,ARG,MF,22,24,0,10,0,0,0,0,0,0.1,0.86,Southampton
Joe O'Brien-Whitmarsh,IRL,FW,22,24,0,10,0,0,0,0,0,0.1,0.86,Southampton
